reference_month,cpi_all_items,source_pull
2021-07-01,142.3,cpi_41690973_20260902_202300.json
2021-08-01,142.6,cpi_41690973_20260902_202300.json
2021-09-01,142.9,cpi_41690973_20260902_202300.json
2021-10-01,143.9,cpi_41690973_20260902_202300.json
2021-11-01,144.2,cpi_41690973_20260902_202300.json
2021-12-01,144.0,cpi_41690973_20260902_202300.json
2022-01-01,145.3,cpi_41690973_20260902_202300.json
2022-02-01,146.8,cpi_41690973_20260902_202300.json
2022-03-01,148.9,cpi_41690973_20260902_202300.json
2022-04-01,149.8,cpi_41690973_20260902_202300.json
2022-05-01,151.9,cpi_41690973_20260902_202300.json
2022-06-01,152.9,cpi_41690973_20260902_202300.json
2022-07-01,153.1,cpi_41690973_20260902_202300.json
2022-08-01,152.6,cpi_41690973_20260902_202300.json
2022-09-01,152.7,cpi_41690973_20260902_202300.json
2022-10-01,153.8,cpi_41690973_20260902_202300.json
2022-11-01,154.0,cpi_41690973_20260902_202300.json
2022-12-01,153.1,cpi_41690973_20260902_202300.json
2023-01-01,153.9,cpi_41690973_20260902_202300.json
2023-02-01,154.5,cpi_41690973_20260902_202300.json
2023-03-01,155.3,cpi_41690973_20260902_202300.json
2023-04-01,156.4,cpi_41690973_20260902_202300.json
2023-05-01,157.0,cpi_41690973_20260902_202300.json
2023-06-01,157.2,cpi_41690973_20260902_202300.json
2023-07-01,158.1,cpi_41690973_20260902_202300.json
2023-08-01,158.7,cpi_41690973_20260902_202300.json
2023-09-01,158.5,cpi_41690973_20260902_202300.json
2023-10-01,158.6,cpi_41690973_20260902_202300.json
2023-11-01,158.8,cpi_41690973_20260902_202300.json
2023-12-01,158.3,cpi_41690973_20260902_202300.json
2024-01-01,158.3,cpi_41690973_20260902_202300.json
2024-02-01,158.8,cpi_41690973_20260902_202300.json
2024-03-01,159.8,cpi_41690973_20260902_202300.json
2024-04-01,160.6,cpi_41690973_20260902_202300.json
2024-05-01,161.5,cpi_41690973_20260902_202300.json
2024-06-01,161.4,cpi_41690973_20260902_202300.json
2024-07-01,162.1,cpi_41690973_20260902_202300.json
2024-08-01,161.8,cpi_41690973_20260902_202300.json
2024-09-01,161.1,cpi_41690973_20260902_202300.json
2024-10-01,161.8,cpi_41690973_20260902_202300.json
2024-11-01,161.8,cpi_41690973_20260902_202300.json
2024-12-01,161.2,cpi_41690973_20260902_202300.json
2025-01-01,161.3,cpi_41690973_20260902_202300.json
2025-02-01,163.0,cpi_41690973_20260902_202300.json
2025-03-01,163.5,cpi_41690973_20260902_202300.json
2025-04-01,163.4,cpi_41690973_20260902_202300.json
2025-05-01,164.3,cpi_41690973_20260902_202300.json
2025-06-01,164.4,cpi_41690973_20260902_202300.json
2025-07-01,164.9,cpi_41690973_20260902_202300.json
2025-08-01,164.8,cpi_41690973_20260902_202300.json
2025-09-01,164.9,cpi_41690973_20260902_202300.json
2025-10-01,165.3,cpi_41690973_20260902_202300.json
2025-11-01,165.4,cpi_41690973_20260902_202300.json
2025-12-01,165.0,cpi_41690973_20260902_202300.json
2026-01-01,165.0,cpi_41690973_20260902_202300.json
2026-02-01,165.9,cpi_41690973_20260902_202300.json
2026-03-01,167.4,cpi_41690973_20260902_202300.json
2026-04-01,168.0,cpi_41690973_20260902_202300.json
2026-05-01,169.6,cpi_41690973_20260902_202300.json
2026-06-01,169.0,cpi_41690973_20260902_202300.json
2026-07-01,169.9,cpi_41690973_20260902_202300.json
