origin_date,horizon,actual,vecm,var_aic,var_bic,naive,vecm_lower_90,vecm_upper_90,vecm_lower_95,vecm_upper_95
2024-11-28,1,0.0499999999999998,0.0400475833759371,0.038870417579424534,0.039462895692786715,0.04,-0.007866518573594501,0.08796168532546869,-0.017045590529580837,0.09714075728145503
2024-12-05,1,0.0899999999999998,0.04580608868490273,0.04479772112583647,0.039463591604042496,0.04,-0.0020951345285977405,0.0937073118984032,-0.011271739260115245,0.10288391662992069
2024-12-12,1,0.1600000000000001,0.1545254529456627,0.15482106843983745,0.15949534161490692,0.1600000000000001,0.10662583741157557,0.20242506847974984,0.09744954066882164,0.21160136522250375
2024-12-19,1,0.2200000000000002,0.26910319803798105,0.270023571261504,0.2595218402688031,0.2599999999999998,0.2211772232675051,0.317029172808457,0.2119958767937185,0.3262105192822436
2024-12-26,1,0.2999999999999998,0.25984856050717464,0.25975923364482584,0.2595224574083636,0.2600000000000002,0.21193073428541756,0.30776638672893175,0.20275094885758577,0.3169461721567635
2025-01-02,1,0.2999999999999998,0.28910861035183305,0.2885619944495885,0.28953080690899713,0.29,0.2412022582317093,0.3370149624719568,0.23202467093762597,0.34619254976604014
2025-01-09,1,0.3700000000000001,0.3974186248388791,0.3970338030203702,0.3995597322348094,0.3999999999999999,0.349522060502207,0.44531518917555113,0.3403463482880049,0.45449090138975323
2025-01-16,1,0.3699999999999996,0.3893695269327374,0.3889050505963181,0.3895577269220876,0.3899999999999997,0.3414892877057727,0.4372497661597021,0.3323167029498887,0.44642235091558613
2025-01-23,1,0.3699999999999996,0.3717599424456699,0.3710527050856351,0.3695531587057007,0.3699999999999996,0.32389668356623413,0.41962320132510567,0.31472735179486744,0.42879253309647236
2025-01-30,1,0.4099999999999997,0.38185272013818816,0.3817419607788604,0.3795562964862784,0.3799999999999999,0.3339888813712665,0.42971655890510985,0.3248194385088276,0.4388860017675487
2025-02-06,1,0.3799999999999999,0.3702049562406085,0.3703452474125055,0.36955430327868866,0.3700000000000001,0.3223580840153535,0.41805182846586353,0.3131918914925947,0.4272180209886223
2025-02-13,1,0.3699999999999996,0.36643532984022814,0.3657362306188083,0.3695548733691482,0.3700000000000001,0.31859740394765085,0.41427325573280543,0.30943292530510785,0.42343773437534843
2025-02-20,1,0.3700000000000001,0.4010359628250619,0.4002826067741792,0.3995631067961168,0.4000000000000003,0.35322238645808796,0.4488495391920358,0.3440625725392592,0.45800935311086455
2025-02-27,1,0.33,0.3398887613423168,0.3389198665438513,0.3395483541719829,0.3400000000000003,0.29209015723667986,0.3876873654479538,0.282933211606279,0.39684431107835466
