horizon_days,shock_variable,response_variable,response,cumulative_response
8,overnight_rate,usdcad,-0.0007498334944524217,-0.006706118023360531
9,overnight_rate,yield_spread_10y_2y,-0.0017975786614473563,-0.008156865955213796
9,overnight_rate,overnight_rate,0.030946457291568606,0.3113352818223282
9,overnight_rate,us_treasury_10y,0.0046190748117368036,0.04019830293455689
9,overnight_rate,fed_funds_rate,0.008674109250316704,0.05636109869935799
9,overnight_rate,cpi_yoy,0.00325078270199851,0.026349051926501166
9,overnight_rate,usdcad,-0.0007715546326842185,-0.007477672656044749
10,overnight_rate,yield_spread_10y_2y,-0.002087462119958618,-0.010244328075172414
10,overnight_rate,overnight_rate,0.03024474640123535,0.3415800282235636
10,overnight_rate,us_treasury_10y,0.0039023723051059968,0.044100675239662886
10,overnight_rate,fed_funds_rate,0.020880820456605033,0.07724191915596301
10,overnight_rate,cpi_yoy,0.004000680029478431,0.0303497319559796
10,overnight_rate,usdcad,-0.0009705368127923957,-0.008448209468837144
11,overnight_rate,yield_spread_10y_2y,-0.001905360292302887,-0.0121496883674753
11,overnight_rate,overnight_rate,0.029924136294036,0.3715041645175996
11,overnight_rate,us_treasury_10y,0.004154449983270076,0.04825512522293296
11,overnight_rate,fed_funds_rate,0.01964043380798002,0.09688235296394303
11,overnight_rate,cpi_yoy,0.004091204151710331,0.03444093610768993
11,overnight_rate,usdcad,-0.0010101406707014044,-0.009458350139538548
12,overnight_rate,yield_spread_10y_2y,-0.0019962919885830963,-0.014145980356058397
12,overnight_rate,overnight_rate,0.02961076047970961,0.4011149249973092
12,overnight_rate,us_treasury_10y,0.004196311566365967,0.05245143678929893
12,overnight_rate,fed_funds_rate,0.018528223310651366,0.11541057627459439
12,overnight_rate,cpi_yoy,0.0047352266564408335,0.039176162764130766
12,overnight_rate,usdcad,-0.001051707476222554,-0.010510057615761102
13,overnight_rate,yield_spread_10y_2y,-0.002142436213522004,-0.0162884165695804
13,overnight_rate,overnight_rate,0.02951991315404753,0.4306348381513567
13,overnight_rate,us_treasury_10y,0.004824907561362333,0.057276344350661264
13,overnight_rate,fed_funds_rate,0.018191294253521038,0.13360187052811542
13,overnight_rate,cpi_yoy,0.005354011285640767,0.04453017404977153
13,overnight_rate,usdcad,-0.0011159476639962394,-0.01162600527975734
14,overnight_rate,yield_spread_10y_2y,-0.0024955409997072645,-0.018783957569287666
14,overnight_rate,overnight_rate,0.02946082978195331,0.46009566793331
14,overnight_rate,us_treasury_10y,0.004203796319002837,0.061480140669664105
14,overnight_rate,fed_funds_rate,0.0179818721732684,0.15158374270138383
14,overnight_rate,cpi_yoy,0.006599223533286984,0.05112939758305852
14,overnight_rate,usdcad,-0.0011069556211115608,-0.012732960900868902
15,overnight_rate,yield_spread_10y_2y,-0.002289627477848518,-0.021073585047136183
15,overnight_rate,overnight_rate,0.029118372213930942,0.48921404014724096
15,overnight_rate,us_treasury_10y,0.0037380875882510782,0.06521822825791518
15,overnight_rate,fed_funds_rate,0.01633247039798474,0.16791621309936858
15,overnight_rate,cpi_yoy,0.006769138737851252,0.05789853632090976
15,overnight_rate,usdcad,-0.0011560319174534531,-0.013888992818322357
16,overnight_rate,yield_spread_10y_2y,-0.002216799801777849,-0.023290384848914034
16,overnight_rate,overnight_rate,0.029009850305284406,0.5182238904525254
16,overnight_rate,us_treasury_10y,0.0044889256056462,0.06970715386356138
16,overnight_rate,fed_funds_rate,0.01615434763877658,0.18407056073814515
16,overnight_rate,cpi_yoy,0.006562361740012164,0.06446089806092192
16,overnight_rate,usdcad,-0.0011611565133069688,-0.015050149331629325
17,overnight_rate,yield_spread_10y_2y,-0.0024801892875688045,-0.025770574136482836
17,overnight_rate,overnight_rate,0.029075401871822167,0.5472992923243475
17,overnight_rate,us_treasury_10y,0.0038932525199062862,0.07360040638346767
17,overnight_rate,fed_funds_rate,0.015937055765508128,0.20000761650365328
17,overnight_rate,cpi_yoy,0.006101852257964072,0.070562750318886
17,overnight_rate,usdcad,-0.0011920054048566978,-0.016242154736486023
18,overnight_rate,yield_spread_10y_2y,-0.002551194579432153,-0.02832176871591499
18,overnight_rate,overnight_rate,0.029195512235391408,0.5764948045597389
18,overnight_rate,us_treasury_10y,0.003969892907955452,0.07757029929142312
18,overnight_rate,fed_funds_rate,0.01682884902325298,0.21683646552690627
18,overnight_rate,cpi_yoy,0.006346684046224635,0.07690943436511063
18,overnight_rate,usdcad,-0.001211076516829749,-0.01745323125331577
19,overnight_rate,yield_spread_10y_2y,-0.00249218699756654,-0.03081395571348153
19,overnight_rate,overnight_rate,0.02973197901091992,0.6062267835706588
19,overnight_rate,us_treasury_10y,0.0038539619422287286,0.08142426123365185
19,overnight_rate,fed_funds_rate,0.017004246373231956,0.23384071190013822
19,overnight_rate,cpi_yoy,0.006231399334063652,0.08314083369917429
19,overnight_rate,usdcad,-0.0012564012011518323,-0.018709632454467603
20,overnight_rate,yield_spread_10y_2y,-0.0026282949426105076,-0.03344225065609204
20,overnight_rate,overnight_rate,0.029464734589427458,0.6356915181600863
20,overnight_rate,us_treasury_10y,0.003968737666726226,0.08539299890037808
20,overnight_rate,fed_funds_rate,0.015903292201053708,0.24974400410119194
20,overnight_rate,cpi_yoy,0.0063884604662131665,0.08952929416538745
20,overnight_rate,usdcad,-0.0013045690252864632,-0.020014201479754065
