origin_date,horizon,actual,var_bic,naive
2023-02-09,20,-0.9800000000000004,-0.9379078014184398,-0.92
2023-02-16,1,-0.8600000000000003,-0.8508734139864264,-0.8499999999999996
2023-02-16,5,-0.8800000000000003,-0.8543670699321331,-0.8499999999999996
2023-02-16,20,-0.8300000000000001,-0.8674682797285331,-0.8499999999999996
2023-02-23,1,-0.8900000000000001,-0.8808809664113144,-0.8800000000000003
2023-02-23,5,-0.8199999999999998,-0.8844048320565707,-0.8800000000000003
2023-02-23,20,-0.69,-0.897619328226282,-0.8800000000000003
2023-03-02,1,-0.8799999999999999,-0.8208620182406589,-0.8199999999999998
2023-03-02,5,-0.9800000000000004,-0.8243100912032949,-0.8199999999999998
2023-03-02,20,-0.8299999999999996,-0.8372403648131802,-0.8199999999999998
2023-03-09,1,-0.98,-0.9809077555816691,-0.9800000000000004
2023-03-09,5,-0.8300000000000001,-0.9845387779083435,-0.9800000000000004
2023-03-09,20,-0.8199999999999998,-0.9981551116333729,-0.9800000000000004
2023-03-16,1,-0.77,-0.8308624229979467,-0.8300000000000001
2023-03-16,5,-0.69,-0.8343121149897331,-0.8300000000000001
2023-03-16,20,-0.8500000000000001,-0.8472484599589323,-0.8300000000000001
2023-03-23,1,-0.6799999999999997,-0.6908201523140011,-0.69
2023-03-23,5,-0.8299999999999996,-0.6941007615700058,-0.69
2023-03-23,20,-0.8199999999999998,-0.7064030462800234,-0.69
2023-03-30,1,-0.8400000000000003,-0.8308599005557177,-0.8299999999999996
2023-03-30,5,-0.8199999999999998,-0.8342995027785899,-0.8299999999999996
2023-03-30,20,-0.7799999999999998,-0.8471980111143605,-0.8299999999999996
2023-04-06,1,-0.8199999999999998,-0.8208557242990653,-0.8199999999999998
2023-04-06,5,-0.8500000000000001,-0.8242786214953269,-0.8199999999999998
2023-04-06,20,-0.7599999999999998,-0.8371144859813082,-0.8199999999999998
2023-04-13,1,-0.7800000000000002,-0.8508632254301547,-0.8500000000000001
2023-04-13,5,-0.8199999999999998,-0.8543161271507729,-0.8500000000000001
2023-04-13,20,-0.8300000000000001,-0.8672645086030913,-0.8500000000000001
2023-04-20,1,-0.7999999999999998,-0.8208532323820615,-0.8199999999999998
2023-04-20,5,-0.7799999999999998,-0.8242661619103085,-0.8199999999999998
2023-04-20,20,-0.8999999999999999,-0.8370646476412346,-0.8199999999999998
2023-04-27,1,-0.81,-0.7808403605699329,-0.7799999999999998
2023-04-27,5,-0.7599999999999998,-0.7842018028496655,-0.7799999999999998
2023-04-27,20,-0.9300000000000006,-0.7968072113986622,-0.7799999999999998
2023-05-04,1,-0.8000000000000003,-0.7608333333333331,-0.7599999999999998
2023-05-04,5,-0.8300000000000001,-0.7641666666666664,-0.7599999999999998
2023-05-04,20,-1.04,-0.7766666666666665,-0.7599999999999998
2023-05-11,1,-0.8599999999999999,-0.8308524209915918,-0.8300000000000001
2023-05-11,5,-0.8999999999999999,-0.8342621049579589,-0.8300000000000001
2023-05-11,20,-1.1300000000000003,-0.8470484198318354,-0.8300000000000001
2023-05-18,1,-0.8800000000000003,-0.9008714533873768,-0.8999999999999999
2023-05-18,5,-0.9300000000000006,-0.9043572669368847,-0.8999999999999999
2023-05-18,20,-1.16,-0.917429067747539,-0.8999999999999999
2023-05-25,1,-0.9699999999999998,-0.9308788667244875,-0.9300000000000006
2023-05-25,5,-1.04,-0.9343943336224348,-0.9300000000000006
2023-05-25,20,-1.29,-0.9475773344897376,-0.9300000000000006
2023-06-01,1,-1.06,-1.04090935334873,-1.04
2023-06-01,5,-1.1300000000000003,-1.044546766743649,-1.04
2023-06-01,20,-1.3000000000000005,-1.0581870669745959,-1.04
2023-06-08,1,-1.1100000000000003,-1.1309339867396948,-1.1300000000000003
2023-06-08,5,-1.16,-1.1346699336984725,-1.1300000000000003
2023-06-08,20,-1.2599999999999998,-1.148679734793889,-1.1300000000000003
2023-06-15,1,-1.2099999999999995,-1.1609412780656303,-1.16
2023-06-15,5,-1.29,-1.1647063903281518,-1.16
2023-06-15,20,-1.2300000000000004,-1.178825561312608,-1.16
2023-06-22,1,-1.3000000000000005,-1.2909772923253808,-1.29
2023-06-22,5,-1.3000000000000005,-1.2948864616269042,-1.29
2023-06-22,20,-1.14,-1.309545846507617,-1.29
2023-06-29,1,-1.3200000000000005,-1.3009787600459246,-1.3000000000000005
2023-06-29,5,-1.2599999999999998,-1.3048938002296215,-1.3000000000000005
2023-06-29,20,-1.1599999999999997,-1.319575200918485,-1.3000000000000005
2023-07-06,1,-1.23,-1.2609658928059613,-1.2599999999999998
2023-07-06,5,-1.2300000000000004,-1.2648294640298077,-1.2599999999999998
2023-07-06,20,-1.0099999999999998,-1.2793178561192318,-1.2599999999999998
2023-07-13,1,-1.2699999999999996,-1.2309559244419008,-1.2300000000000004
2023-07-13,5,-1.14,-1.2347796222095024,-1.2300000000000004
2023-07-13,20,-1.04,-1.2491184888380085,-1.2300000000000004
2023-07-20,1,-1.17,-1.1409288368105173,-1.14
2023-07-20,5,-1.1599999999999997,-1.1446441840525863,-1.14
2023-07-20,20,-1.0000000000000004,-1.1585767362103456,-1.14
2023-07-27,1,-1.17,-1.160933219178082,-1.1599999999999997
2023-07-27,5,-1.0099999999999998,-1.1646660958904107,-1.1599999999999997
2023-07-27,20,-1.0699999999999998,-1.1786643835616435,-1.1599999999999997
2023-08-03,1,-1.0200000000000005,-1.0108891422057564,-1.0099999999999998
2023-08-03,5,-1.04,-1.014445711028783,-1.0099999999999998
2023-08-03,20,-1.0799999999999996,-1.0277828441151322,-1.0099999999999998
2023-08-10,1,-1.02,-1.0408964143426296,-1.04
2023-08-10,5,-1.0000000000000004,-1.0444820717131476,-1.04
2023-08-10,20,-0.9700000000000002,-1.0579282868525897,-1.04
2023-08-17,1,-1.0499999999999998,-1.0008837737993752,-1.0000000000000004
2023-08-17,5,-1.0699999999999998,-1.0044188689968745,-1.0000000000000004
