horizon,model_a,model_b,pipeline_pair,n_forecasts,insufficient_sample,dm_stat_squared_loss,dm_p_value_squared_loss,dm_stat_absolute_loss,dm_p_value_absolute_loss,a_significantly_better_rmse,b_significantly_better_rmse,a_significantly_better_mae,b_significantly_better_mae,verdict,dm_p_adj_squared_loss,dm_p_adj_absolute_loss,a_significantly_better_rmse_bh,b_significantly_better_rmse_bh,a_significantly_better_mae_bh,b_significantly_better_mae_bh,verdict_bh
5,var_aic,lstm,cross,745,False,2.469,0.0138,2.701,0.0071,False,True,False,True,lstm significantly better than var_aic (RMSE and MAE agree),0.08432307692307692,0.031950000000000006,False,False,False,True,lstm significantly better than the rival on MAE only (p=0.0320); RMSE not significant
5,var_aic,var_bic,same,750,False,2.408,0.0163,2.511,0.0123,False,True,False,True,var_bic significantly better than var_aic (RMSE and MAE agree),0.08432307692307692,0.048825,False,False,False,True,var_bic significantly better than the rival on MAE only (p=0.0488); RMSE not significant
5,var_aic,vecm,cross,750,False,0.283,0.7772,0.665,0.5063,False,False,False,False,no significant difference on either RMSE or MAE,0.8171409836065574,0.5906833333333333,False,False,False,False,no significant difference on either RMSE or MAE
5,var_bic,lstm,cross,745,False,-0.46,0.6456,-0.18,0.8569,False,False,False,False,no significant difference on either RMSE or MAE,0.7728792452830189,0.8924311475409836,False,False,False,False,no significant difference on either RMSE or MAE
5,var_bic,vecm,cross,750,False,-2.096,0.0364,-1.743,0.0817,True,False,False,False,var_bic significantly better than the rival on RMSE only (p=0.0364); MAE not significant,0.12775,0.1774161290322581,False,False,False,False,no significant difference on either RMSE or MAE
5,vecm,lstm,cross,745,False,2.146,0.0322,1.843,0.0657,False,True,False,False,lstm significantly better than the rival on RMSE only (p=0.0322); MAE not significant,0.1267875,0.165564,False,False,False,False,no significant difference on either RMSE or MAE
20,arima_aic,arima_bic,same,750,False,1.331,0.1834,0.688,0.4916,False,False,False,False,no significant difference on either RMSE or MAE,0.3727161290322581,0.5843547169811321,False,False,False,False,no significant difference on either RMSE or MAE
20,arima_aic,lstm,cross,745,False,1.66,0.0973,1.22,0.223,False,False,False,False,no significant difference on either RMSE or MAE,0.2665173913043478,0.37683947368421056,False,False,False,False,no significant difference on either RMSE or MAE
20,arima_aic,var_aic,same,750,False,1.198,0.2311,0.391,0.6958,False,False,False,False,no significant difference on either RMSE or MAE,0.39349459459459457,0.7429728813559322,False,False,False,False,no significant difference on either RMSE or MAE
20,arima_aic,var_bic,same,750,False,1.338,0.1814,0.696,0.4866,False,False,False,False,no significant difference on either RMSE or MAE,0.3727161290322581,0.5843547169811321,False,False,False,False,no significant difference on either RMSE or MAE
20,arima_aic,vecm,cross,750,False,1.177,0.2396,1.024,0.3062,False,False,False,False,no significant difference on either RMSE or MAE,0.39723157894736844,0.43842272727272735,False,False,False,False,no significant difference on either RMSE or MAE
20,arima_bic,lstm,cross,745,False,0.752,0.4521,1.114,0.2657,False,False,False,False,no significant difference on either RMSE or MAE,0.5933812500000001,0.4039325581395349,False,False,False,False,no significant difference on either RMSE or MAE
20,arima_bic,var_aic,same,750,False,0.462,0.6439,-0.067,0.9467,False,False,False,False,no significant difference on either RMSE or MAE,0.7728792452830189,0.9467,False,False,False,False,no significant difference on either RMSE or MAE
20,arima_bic,var_bic,same,750,False,1.384,0.1666,1.231,0.2188,False,False,False,False,no significant difference on either RMSE or MAE,0.3727161290322581,0.37683947368421056,False,False,False,False,no significant difference on either RMSE or MAE
20,arima_bic,vecm,cross,750,False,0.891,0.373,0.953,0.3407,False,False,False,False,no significant difference on either RMSE or MAE,0.537075,0.46825434782608694,False,False,False,False,no significant difference on either RMSE or MAE
20,naive,arima_aic,same,750,False,-1.362,0.1736,-1.095,0.2738,False,False,False,False,no significant difference on either RMSE or MAE,0.3727161290322581,0.4039325581395349,False,False,False,False,no significant difference on either RMSE or MAE
20,naive,arima_bic,same,750,False,-1.092,0.275,-1.092,0.275,False,False,False,False,no significant difference on either RMSE or MAE,0.41400000000000003,0.4039325581395349,False,False,False,False,no significant difference on either RMSE or MAE
20,naive,lstm,same,3725,False,-1.126,0.2602,-0.755,0.4505,False,False,False,False,no significant difference on either RMSE or MAE,0.409815,0.5565,False,False,False,False,no significant difference on either RMSE or MAE
20,naive,var_aic,same,750,False,-0.243,0.8082,-0.791,0.429,False,False,False,False,no significant difference on either RMSE or MAE,0.8212354838709678,0.5515714285714286,False,False,False,False,no significant difference on either RMSE or MAE
20,naive,var_bic,same,750,False,-1.09,0.276,-1.091,0.2757,False,False,False,False,no significant difference on either RMSE or MAE,0.41400000000000003,0.4039325581395349,False,False,False,False,no significant difference on either RMSE or MAE
20,naive,vecm,same,750,False,0.377,0.7064,0.464,0.6431,False,False,False,False,no significant difference on either RMSE or MAE,0.8091490909090909,0.7107947368421053,False,False,False,False,no significant difference on either RMSE or MAE
20,var_aic,lstm,cross,745,False,-0.214,0.8303,0.501,0.6167,False,False,False,False,no significant difference on either RMSE or MAE,0.8303,0.6971625,False,False,False,False,no significant difference on either RMSE or MAE
20,var_aic,var_bic,same,750,False,-0.455,0.6493,0.074,0.9411,False,False,False,False,no significant difference on either RMSE or MAE,0.7728792452830189,0.9467,False,False,False,False,no significant difference on either RMSE or MAE
20,var_aic,vecm,cross,750,False,0.806,0.4205,1.208,0.2273,False,False,False,False,no significant difference on either RMSE or MAE,0.5874065217391304,0.37683947368421056,False,False,False,False,no significant difference on either RMSE or MAE
20,var_bic,lstm,cross,745,False,0.728,0.467,1.095,0.2739,False,False,False,False,no significant difference on either RMSE or MAE,0.6004285714285714,0.4039325581395349,False,False,False,False,no significant difference on either RMSE or MAE
20,var_bic,vecm,cross,750,False,0.888,0.3751,0.951,0.3419,False,False,False,False,no significant difference on either RMSE or MAE,0.537075,0.46825434782608694,False,False,False,False,no significant difference on either RMSE or MAE
20,vecm,lstm,cross,745,False,-0.762,0.4464,-0.83,0.4068,False,False,False,False,no significant difference on either RMSE or MAE,0.5933812500000001,0.533925,False,False,False,False,no significant difference on either RMSE or MAE
