origin_date,horizon,actual,naive,lstm,fold
2024-02-27,5,-0.68,-0.68,-0.68762076,4
2024-02-27,20,-0.67,-0.68,-0.7395752,4
2024-02-28,1,-0.7,-0.67,-0.67265797,4
2024-02-28,5,-0.73,-0.67,-0.6789268,4
2024-02-28,20,-0.69,-0.67,-0.719962,4
2024-02-29,1,-0.67,-0.7,-0.7047731,4
2024-02-29,5,-0.73,-0.7,-0.71206254,4
2024-02-29,20,-0.72,-0.7,-0.7508571,4
2024-03-01,1,-0.68,-0.67,-0.6738036,4
2024-03-01,5,-0.7,-0.67,-0.6802733,4
2024-03-01,20,-0.72,-0.67,-0.7227068,4
2024-03-04,1,-0.68,-0.68,-0.6833735,4
2024-03-04,5,-0.72,-0.68,-0.68310046,4
2024-03-04,20,-0.68,-0.68,-0.692758,4
2024-03-05,1,-0.73,-0.68,-0.6803017,4
2024-03-05,5,-0.72,-0.68,-0.6784999,4
2024-03-05,20,-0.63,-0.68,-0.6787898,4
2024-03-06,1,-0.73,-0.73,-0.7325209,4
2024-03-06,5,-0.72,-0.73,-0.73044443,4
2024-03-06,20,-0.63,-0.73,-0.73388815,4
2024-03-07,1,-0.7,-0.73,-0.72989714,4
2024-03-07,5,-0.7,-0.73,-0.7256412,4
2024-03-07,20,-0.65,-0.73,-0.7388497,4
2024-03-08,1,-0.72,-0.7,-0.6989622,4
2024-03-08,5,-0.71,-0.7,-0.6925728,4
2024-03-08,20,-0.63,-0.7,-0.6999541,4
2024-03-11,1,-0.72,-0.72,-0.71902627,4
2024-03-11,5,-0.69,-0.72,-0.7128441,4
2024-03-11,20,-0.62,-0.72,-0.70451134,4
2024-03-12,1,-0.72,-0.72,-0.7182327,4
2024-03-12,5,-0.66,-0.72,-0.71217847,4
2024-03-12,20,-0.65,-0.72,-0.70407194,4
2024-03-13,1,-0.7,-0.72,-0.71671784,4
2024-03-13,5,-0.64,-0.72,-0.7099817,4
2024-03-13,20,-0.66,-0.72,-0.6950345,4
2024-03-14,1,-0.71,-0.7,-0.69707614,4
2024-03-14,5,-0.64,-0.7,-0.69101393,4
2024-03-14,20,-0.52,-0.7,-0.67860174,4
2024-03-15,1,-0.69,-0.71,-0.7067037,4
2024-03-15,5,-0.66,-0.71,-0.7077884,4
2024-03-15,20,-0.53,-0.71,-0.70001894,4
2024-03-18,1,-0.66,-0.69,-0.688287,4
2024-03-18,5,-0.65,-0.69,-0.6886746,4
2024-03-18,20,-0.49,-0.69,-0.68384707,4
