horizon_days,response_variable,shock_variable,proportion
6,cpi_yoy,cpi_yoy,0.994279098161548
6,cpi_yoy,usdcad,0.00014024994849739717
6,usdcad,yield_spread_10y_2y,0.004072889978367468
6,usdcad,overnight_rate,0.020522844813921054
6,usdcad,us_treasury_10y,0.005410515687696436
6,usdcad,fed_funds_rate,0.001360516831514426
6,usdcad,cpi_yoy,0.002605162408293209
6,usdcad,usdcad,0.9660280702802074
7,yield_spread_10y_2y,yield_spread_10y_2y,0.9948692039075574
7,yield_spread_10y_2y,overnight_rate,0.0013286209751283374
7,yield_spread_10y_2y,us_treasury_10y,0.002326993902363039
7,yield_spread_10y_2y,fed_funds_rate,0.00027258134074817033
7,yield_spread_10y_2y,cpi_yoy,0.00017465404311202794
7,yield_spread_10y_2y,usdcad,0.0010279458310909603
7,overnight_rate,yield_spread_10y_2y,0.012631672125543626
7,overnight_rate,overnight_rate,0.9736351307456759
7,overnight_rate,us_treasury_10y,0.004516276758703237
7,overnight_rate,fed_funds_rate,0.004581678621237146
7,overnight_rate,cpi_yoy,0.000187638389799257
7,overnight_rate,usdcad,0.004447603359040779
7,us_treasury_10y,yield_spread_10y_2y,0.16040474765979995
7,us_treasury_10y,overnight_rate,0.005841949696520579
7,us_treasury_10y,us_treasury_10y,0.8329130580133135
7,us_treasury_10y,fed_funds_rate,0.0003611945397976539
7,us_treasury_10y,cpi_yoy,0.0003344889937114667
7,us_treasury_10y,usdcad,0.0001445610968570203
7,fed_funds_rate,yield_spread_10y_2y,0.0013732003443084754
7,fed_funds_rate,overnight_rate,0.029644321959246253
7,fed_funds_rate,us_treasury_10y,0.004566569667395456
7,fed_funds_rate,fed_funds_rate,0.9631949152109283
7,fed_funds_rate,cpi_yoy,0.0007906144898920852
7,fed_funds_rate,usdcad,0.00043037832822943623
7,cpi_yoy,yield_spread_10y_2y,0.001319944741187352
7,cpi_yoy,overnight_rate,0.0015547869658628305
7,cpi_yoy,us_treasury_10y,0.00012081470192119215
7,cpi_yoy,fed_funds_rate,0.0026579256014230166
7,cpi_yoy,cpi_yoy,0.9941247091830561
7,cpi_yoy,usdcad,0.0002218188065497125
7,usdcad,yield_spread_10y_2y,0.004253475914121385
7,usdcad,overnight_rate,0.021452817345407396
7,usdcad,us_treasury_10y,0.0052311411316709215
7,usdcad,fed_funds_rate,0.0019415699883647667
7,usdcad,cpi_yoy,0.0029516062682836525
7,usdcad,usdcad,0.9641693893521519
8,yield_spread_10y_2y,yield_spread_10y_2y,0.9946873457727827
8,yield_spread_10y_2y,overnight_rate,0.0014847971998085837
8,yield_spread_10y_2y,us_treasury_10y,0.0021502190639132606
8,yield_spread_10y_2y,fed_funds_rate,0.000420316481830921
8,yield_spread_10y_2y,cpi_yoy,0.0001590459467919133
8,yield_spread_10y_2y,usdcad,0.0010982755348725806
8,overnight_rate,yield_spread_10y_2y,0.012639653439739575
8,overnight_rate,overnight_rate,0.9710239533115499
8,overnight_rate,us_treasury_10y,0.005857328651407817
8,overnight_rate,fed_funds_rate,0.004750357453922427
8,overnight_rate,cpi_yoy,0.00020582541530087694
8,overnight_rate,usdcad,0.0055228817280793836
8,us_treasury_10y,yield_spread_10y_2y,0.15955384790087104
8,us_treasury_10y,overnight_rate,0.007464826662769466
8,us_treasury_10y,us_treasury_10y,0.8321706273623253
8,us_treasury_10y,fed_funds_rate,0.00035464895342052466
8,us_treasury_10y,cpi_yoy,0.00032674794822720445
8,us_treasury_10y,usdcad,0.000129301172386427
8,fed_funds_rate,yield_spread_10y_2y,0.0016690688240530687
8,fed_funds_rate,overnight_rate,0.03640667771420256
8,fed_funds_rate,us_treasury_10y,0.005005094841798639
8,fed_funds_rate,fed_funds_rate,0.9555502577054102
8,fed_funds_rate,cpi_yoy,0.0009316040593171857
8,fed_funds_rate,usdcad,0.00043729685521815264
8,cpi_yoy,yield_spread_10y_2y,0.0011820692147665036
8,cpi_yoy,overnight_rate,0.0014853660153905546
8,cpi_yoy,us_treasury_10y,0.0001500775409358711
8,cpi_yoy,fed_funds_rate,0.0028656502843008103
8,cpi_yoy,cpi_yoy,0.9938266115459348
8,cpi_yoy,usdcad,0.0004902253986716323
8,usdcad,yield_spread_10y_2y,0.0040144187199612665
8,usdcad,overnight_rate,0.021221143626975074
8,usdcad,us_treasury_10y,0.005001863434066949
8,usdcad,fed_funds_rate,0.002395699426320648
8,usdcad,cpi_yoy,0.0030809519509538605
8,usdcad,usdcad,0.9642859228417223
