origin_date,origin_idx,horizon,actual,naive,arima_aic,arima_aic_converged,arima_bic,arima_bic_converged
2016-06-16,1650,20,0.51,0.5900000000000001,0.5835650232553351,False,0.5714648663085219,True
2016-06-23,1655,1,0.6299999999999999,0.68,0.6802922296887962,True,0.6791304427343386,True
2016-06-23,1655,5,0.54,0.68,0.6707928669404926,True,0.6756522136716929,True
2016-06-23,1655,20,0.5300000000000001,0.68,0.6543833407633237,True,0.6626088546867716,True
2016-06-30,1660,1,0.54,0.54,0.5399818353532384,True,0.5390486509762414,True
2016-06-30,1660,5,0.51,0.54,0.5442711266405683,True,0.5352432548812073,True
2016-06-30,1660,20,0.4800000000000001,0.54,0.5346549281672611,True,0.5209730195248291,True
2016-07-07,1665,1,0.49,0.51,0.5109151023769596,True,0.5090334694554055,False
2016-07-07,1665,5,0.51,0.51,0.5106519470648474,True,0.5051673472770275,False
2016-07-07,1665,20,0.51,0.51,0.4982295862016783,True,0.4906693891081099,False
2016-07-14,1670,1,0.5400000000000001,0.51,0.5126515643019937,False,0.5090363496523116,True
2016-07-14,1670,5,0.5300000000000001,0.51,0.5094777998700899,False,0.5051817482615579,True
2016-07-14,1670,20,0.5,0.51,0.4961964000333394,False,0.49072699304623163,True
2016-07-21,1675,1,0.53,0.5300000000000001,0.528659527705163,True,0.5290511552201727,True
2016-07-21,1675,5,0.4800000000000001,0.5300000000000001,0.5233967032030793,True,0.5252557761008625,True
2016-07-21,1675,20,0.4700000000000001,0.5300000000000001,0.5086514375723036,True,0.5110231044034493,True
2016-07-28,1680,1,0.49,0.4800000000000001,0.4810490611928992,True,0.47902418768248967,True
2016-07-28,1680,5,0.51,0.4800000000000001,0.48009927631312954,True,0.475120938412448,True
2016-07-28,1680,20,0.4800000000000001,0.4800000000000001,0.4668034698710611,True,0.4604837536497918,True
2016-08-04,1685,1,0.55,0.51,0.5076149634293718,True,0.5090448690006708,True
2016-08-04,1685,5,0.5,0.51,0.5042185836642998,True,0.5052243450033539,True
2016-08-04,1685,20,0.4399999999999999,0.51,0.48994019113406423,True,0.4908973800134155,True
2016-08-11,1690,1,0.49,0.5,0.49964612599075414,True,0.4990417721847221,True
2016-08-11,1690,5,0.4700000000000001,0.5,0.4966336593632129,True,0.49520886092361066,True
2016-08-11,1690,20,0.5200000000000001,0.5,0.4829794901963284,True,0.48083544369444264,True
2016-08-18,1695,1,0.5100000000000001,0.4700000000000001,0.46943551464038163,True,0.46902687572220125,True
2016-08-18,1695,5,0.4800000000000001,0.4700000000000001,0.4684723222761147,True,0.46513437861100587,True
2016-08-18,1695,20,0.63,0.4700000000000001,0.45488802086079316,True,0.4505375144440233,True
2016-08-25,1700,1,0.4800000000000001,0.4800000000000001,0.48108409413854625,True,0.479035597195224,True
2016-08-25,1700,5,0.4399999999999999,0.4800000000000001,0.47638313840896807,True,0.47517798597611965,True
2016-08-25,1700,20,0.5300000000000001,0.4800000000000001,0.46187508706208225,True,0.4607119439044784,True
2016-09-01,1705,1,0.4700000000000001,0.4399999999999999,0.43986513110582254,False,0.43901495119208483,True
2016-09-01,1705,5,0.5200000000000001,0.4399999999999999,0.43769564080909457,False,0.4350747559604245,True
2016-09-01,1705,20,0.4599999999999999,0.4399999999999999,0.4242838924813514,False,0.42029902384169837,True
2016-09-08,1710,1,0.57,0.5200000000000001,0.5190416815742889,True,0.5190646170614227,True
2016-09-08,1710,5,0.63,0.5200000000000001,0.5075944724989707,True,0.515323085307113,True
2016-09-08,1710,20,0.57,0.5200000000000001,0.4910064103470741,True,0.5012923412284517,True
2016-09-15,1715,1,0.61,0.63,0.628000786736179,False,0.6291315223876534,True
2016-09-15,1715,5,0.5300000000000001,0.63,0.6137595506085987,False,0.6256576119382665,True
2016-09-15,1715,20,0.58,0.63,0.5938064712765094,False,0.6126304477530662,True
2016-09-22,1720,1,0.52,0.5300000000000001,0.5278385893250628,True,0.5290758614867013,True
2016-09-22,1720,5,0.4599999999999999,0.5300000000000001,0.5287485296295709,True,0.5253793074335056,True
2016-09-22,1720,20,0.6199999999999999,0.5300000000000001,0.5177067072032928,True,0.5115172297340218,True
2016-09-29,1725,1,0.48,0.4599999999999999,0.46113391455952873,False,0.45903792347788513,True
2016-09-29,1725,5,0.57,0.4599999999999999,0.4631889467520531,False,0.45518961738942615,True
2016-09-29,1725,20,0.65,0.4599999999999999,0.45326824807167954,False,0.4407584695577048,True
2016-10-06,1730,1,0.58,0.57,0.569306015816327,False,0.5691043218791972,True
2016-10-06,1730,5,0.58,0.57,0.558291963397096,False,0.5655216093959865,True
2016-10-06,1730,20,0.6599999999999999,0.57,0.5398307244253729,False,0.5520864375839463,True
2016-10-13,1735,1,0.63,0.58,0.5771870268421204,False,0.5791126536888249,True
2016-10-13,1735,5,0.6199999999999999,0.58,0.5706515672799256,False,0.5755632684441245,True
2016-10-13,1735,20,0.8099999999999999,0.58,0.554910245492697,False,0.5622530737764984,True
2016-10-20,1740,1,0.6099999999999999,0.6199999999999999,0.6165571067719896,False,0.6191381920677256,True
2016-10-20,1740,5,0.65,0.6199999999999999,0.6101285705942867,False,0.6156909603386286,True
2016-10-20,1740,20,0.88,0.6199999999999999,0.5947023417546256,False,0.6027638413545144,True
2016-10-27,1745,1,0.66,0.65,0.6501794496721037,True,0.649157869088228,True
2016-10-27,1745,5,0.6599999999999999,0.65,0.6417167331260474,True,0.6457893454411403,True
2016-10-27,1745,20,0.91,0.65,0.6281650178926025,True,0.6331573817645612,True
2016-11-03,1750,1,0.6399999999999999,0.6599999999999999,0.6592460138657397,False,0.6591659796373889,True
2016-11-03,1750,5,0.8099999999999999,0.6599999999999999,0.651844086519201,False,0.6558298981869446,True
2016-11-03,1750,20,0.91,0.6599999999999999,0.636883613301127,False,0.6433195927477785,True
2016-11-10,1755,1,0.8099999999999999,0.8099999999999999,0.8015434131676459,False,0.809253802241063,True
2016-11-10,1755,5,0.88,0.8099999999999999,0.7852564628863965,False,0.8062690112053155,True
2016-11-10,1755,20,0.93,0.8099999999999999,0.7647871096024373,False,0.7950760448212623,True
2016-11-17,1760,1,0.9,0.88,0.8781950130871224,True,0.8792957420721748,True
2016-11-17,1760,5,0.91,0.88,0.8652430595316676,True,0.8764787103608739,True
2016-11-17,1760,20,1.02,0.88,0.8478616232458808,True,0.8659148414434955,True
2016-11-24,1765,1,0.9,0.91,0.9081039132626764,False,0.909314730098075,True
2016-11-24,1765,5,0.91,0.91,0.8992783159633115,False,0.9065736504903746,True
2016-11-24,1765,20,0.99,0.91,0.8848836865608029,False,0.8962946019614986,True
2016-12-01,1770,1,0.8999999999999999,0.91,0.9076454640405215,True,0.9093166536936622,True
2016-12-01,1770,5,0.93,0.91,0.9023827615921074,True,0.9065832684683107,True
2016-12-01,1770,20,0.96,0.91,0.891689840545714,True,0.8963330738732426,True
2016-12-08,1775,1,0.99,0.93,0.9308914617197193,True,0.9293298390531529,True
2016-12-08,1775,5,1.02,0.93,0.924789110919075,True,0.9266491952657642,True
2016-12-08,1775,20,0.95,0.93,0.914378383397046,True,0.9165967810630566,True
2016-12-15,1780,1,1.0100000000000002,1.02,1.018151476816488,False,1.0193822940113348,True
2016-12-15,1780,5,0.99,1.02,1.0083868245279128,False,1.016911470056674,True
2016-12-15,1780,20,0.8799999999999999,1.02,0.9943942929824978,False,1.007645880226696,True
2016-12-22,1785,1,1.0,0.99,0.9897219364654278,False,0.9893671918624946,True
2016-12-22,1785,5,0.96,0.99,0.9850100410301734,False,0.9868359593124728,True
